problem_type,model_group,total_responses,correct_responses,accuracy,accuracy_pct
hle_chemistry,RLHF,72,3,0.041666666666666664,4.166666666666666
hle_chemistry,non-RLHF,72,2,0.027777777777777776,2.7777777777777777
hle_engineering,RLHF,20,1,0.05,5.0
hle_engineering,non-RLHF,20,0,0.0,0.0
hle_math,RLHF,440,4,0.00909090909090909,0.9090909090909091
hle_math,non-RLHF,440,7,0.015909090909090907,1.5909090909090908
hle_physics,RLHF,68,6,0.08823529411764706,8.823529411764707
hle_physics,non-RLHF,68,4,0.058823529411764705,5.88235294117647
mmlu_abstract_algebra,RLHF,20,6,0.3,30.0
mmlu_abstract_algebra,non-RLHF,20,5,0.25,25.0
mmlu_anatomy,RLHF,24,12,0.5,50.0
mmlu_anatomy,non-RLHF,24,13,0.5416666666666666,54.166666666666664
mmlu_astronomy,RLHF,40,19,0.475,47.5
mmlu_astronomy,non-RLHF,40,18,0.45,45.0
mmlu_clinical_knowledge,RLHF,48,23,0.4791666666666667,47.91666666666667
mmlu_clinical_knowledge,non-RLHF,48,27,0.5625,56.25
mmlu_college_biology,RLHF,28,17,0.6071428571428571,60.71428571428571
mmlu_college_biology,non-RLHF,28,14,0.5,50.0
mmlu_college_chemistry,RLHF,28,9,0.32142857142857145,32.142857142857146
mmlu_college_chemistry,non-RLHF,28,11,0.39285714285714285,39.285714285714285
mmlu_college_computer_science,RLHF,16,7,0.4375,43.75
mmlu_college_computer_science,non-RLHF,16,10,0.625,62.5
mmlu_college_mathematics,RLHF,16,7,0.4375,43.75
mmlu_college_mathematics,non-RLHF,16,6,0.375,37.5
mmlu_college_medicine,RLHF,36,16,0.4444444444444444,44.44444444444444
mmlu_college_medicine,non-RLHF,36,12,0.3333333333333333,33.33333333333333
mmlu_college_physics,RLHF,20,6,0.3,30.0
mmlu_college_physics,non-RLHF,20,5,0.25,25.0
mmlu_conceptual_physics,RLHF,48,17,0.3541666666666667,35.41666666666667
mmlu_conceptual_physics,non-RLHF,48,16,0.3333333333333333,33.33333333333333
mmlu_electrical_engineering,RLHF,32,16,0.5,50.0
mmlu_electrical_engineering,non-RLHF,32,11,0.34375,34.375
mmlu_formal_logic,RLHF,36,10,0.2777777777777778,27.77777777777778
mmlu_formal_logic,non-RLHF,36,9,0.25,25.0
mmlu_logical_fallacies,RLHF,20,10,0.5,50.0
mmlu_logical_fallacies,non-RLHF,20,8,0.4,40.0
mmlu_machine_learning,RLHF,28,14,0.5,50.0
mmlu_machine_learning,non-RLHF,28,15,0.5357142857142857,53.57142857142857
mmlu_medical_genetics,RLHF,24,12,0.5,50.0
mmlu_medical_genetics,non-RLHF,24,10,0.4166666666666667,41.66666666666667
mmlu_miscellaneous,RLHF,160,101,0.63125,63.125
mmlu_miscellaneous,non-RLHF,160,92,0.575,57.49999999999999
mmlu_nutrition,RLHF,64,39,0.609375,60.9375
mmlu_nutrition,non-RLHF,64,30,0.46875,46.875
mmlu_professional_medicine,RLHF,76,36,0.47368421052631576,47.368421052631575
mmlu_professional_medicine,non-RLHF,76,27,0.35526315789473684,35.526315789473685
mmlu_virology,RLHF,36,19,0.5277777777777778,52.77777777777778
mmlu_virology,non-RLHF,36,15,0.4166666666666667,41.66666666666667
